"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","14","","ItemConsumerGoods)","","ItemConsumerGoods)","[C792] Item upload: Upload a Consumer Goods item(upload_01_ConsumerGoodsItem_IsItemUploaded","[C792] Item upload: Upload a Consumer Goods item(upload_01_ConsumerGoodsItem_IsItemUploaded",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","25","","ConversationActionsTest","","ConversationActionsTest","[C10886] Conversation data: User profile access from user card","[C10886] Conversation data: User profile access from user card",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","10","","com.wallapop.functionality.item.actions.behaviour.OtherItemsTest","","com.wallapop.functionality.item.actions.behaviour.OtherItemsTest","otherItem_03_shareItem_isAdroidContentPopup","[C652] Item actions: Share an Item via eMail",""
"broken","Tue Jun 04 01:36:24 CEST 2019","Tue Jun 04 01:36:24 CEST 2019","25","","User, int)","","User, int)","User Review: Buy item and do the review to the buyer(userReview_04_BuyerDoesSellerReview_isReviewDone","User Review: Buy item and do the review to the buyer(userReview_04_BuyerDoesSellerReview_isReviewDone",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","5","","com.wallapop.functionality.delivery.behaviour.DeliveryBankAccountTest","","com.wallapop.functionality.delivery.behaviour.DeliveryBankAccountTest","shipping_registerBankAccount_registerFailed","[C12541] Delivery accounts: Register bank account with invalid IBAN",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","256","","com.wallapop.functionality.search.searchConsumerGoods.behaviour.SearchConsumerGoodsTest","","com.wallapop.functionality.search.searchConsumerGoods.behaviour.SearchConsumerGoodsTest","searchConsumerGoods_03_SetFilterByKeywordAndSelectFromSuggester_IsCategorySelected","Search Consumer Goods: Search by keyword and select one from suggester",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","13","","int)","","int)","[C79] Inbox data - Active conversations: Conversations sorting(ActivesInbox_Data_05_SendMessage_IsInboxReordered","[C79] Inbox data - Active conversations: Conversations sorting(ActivesInbox_Data_05_SendMessage_IsInboxReordered",""
"broken","Tue Jun 04 01:36:33 CEST 2019","Tue Jun 04 01:36:33 CEST 2019","26","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","","com.wallapop.functionality.profile.editProfile.behaviour.EditProfileTest","editProfile_03_EditSurname_IsSurnameSet","[C695] Profile edition: Change first and last name",""
"broken","Tue Jun 04 01:36:19 CEST 2019","Tue Jun 04 01:36:19 CEST 2019","4","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxDataTest","","com.wallapop.functionality.chat.inbox.behaviour.ActivesInboxDataTest","ActivesInbox_Data_04_ReadConversation_IsReadBadgeHidden","[C80] Inbox data - Active conversations: Read conversations",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","4","","com.wallapop.functionality.ads.behaviour.AdsTest","","com.wallapop.functionality.ads.behaviour.AdsTest","ads_access_atItem_isAdNotShown","Search and access to an Ad at the item detail",""
"broken","Tue Jun 04 01:36:21 CEST 2019","Tue Jun 04 01:36:21 CEST 2019","17","","SearchCG, String)","","SearchCG, String)","[C37160C] Save Searches: Edit a saved search(SaveSearch_03_EditSavedSearch_IsSearchModified","[C37160C] Save Searches: Edit a saved search(SaveSearch_03_EditSavedSearch_IsSearchModified",""
"broken","Tue Jun 04 01:36:36 CEST 2019","Tue Jun 04 01:36:36 CEST 2019","10","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","","com.wallapop.functionality.loginRegister.behaviour.RegisterWallapopUserTest","registerWallapopAccount_07_selectOneFavCategory_isSaveButtonDisplayed","[C26851B] Onboarding: Select one favourite category but not save selection (Category: Cars)",""
"broken","Tue Jun 04 01:36:23 CEST 2019","Tue Jun 04 01:36:23 CEST 2019","9","","com.wallapop.functionality.chat.conversation.behaviour.ConversationDataTest","","com.wallapop.functionality.chat.conversation.behaviour.ConversationDataTest","Conversation_Data_05_GoToConversation_IsUserDataAtCardDisplayed","[C385] Conversation data: User cards for Consumer Goods",""
"broken","Tue Jun 04 01:36:35 CEST 2019","Tue Jun 04 01:36:35 CEST 2019","25","","UserStatus)","","UserStatus)","Inbox actions - Active conversations: Go to a conversation with the user AVAILABLE(ActivesInbox_Actions_05_GoToConversationByUserStatus_IsConversationDisplayed","Inbox actions - Active conversations: Go to a conversation with the user AVAILABLE(ActivesInbox_Actions_05_GoToConversationByUserStatus_IsConversationDisplayed",""
